sectors ABAF0002 on ch 74,ABAS0001 on ch 74, cost =0.002
sectors ABAF0003 on ch 35,ABAL0002 on ch 35, cost =0.025
sectors ABAG0002 on ch 23,ABAB0001 on ch 23, cost =0.160
sectors ABAG0002 on ch 23,ABAL0002 on ch 23, cost =0.006
sectors ABAG0003 on ch **,ABAC0001 on ch **, cost =0.004
sectors ABAG0003 on ch 26,ABAD0001 on ch 26, cost =0.028
sectors ABAG0003 on ch **,ABAS0001 on ch **, cost =0.006
sectors ABAG0003 on ch 85,ABAS0001 on ch 85, cost =0.006
sectors ABAG0003 on ch 85,ABAE0003 on ch 85, cost =0.004
sectors ABAG0003 on ch 26,ABAR0001 on ch 26, cost =0.006
sectors ABAH0001 on ch 98,ABAD0001 on ch 98, cost =0.123
sectors ABAH0001 on ch 23,ABAL0002 on ch 23, cost =0.109
sectors ABAH0001 on ch 98,ABAO0001 on ch 98, cost =0.002
sectors ABAJ0002 on ch 19,ABAD0001 on ch 19, cost =0.011
sectors ABAJ0002 on ch 43,ABAD0001 on ch 43, cost =0.011
sectors ABAJ0002 on ch 88,ABAS0001 on ch 88, cost =0.017
sectors ABAJ0002 on ch 13,ABAU0002 on ch 13, cost =0.004
sectors ABAJ0002 on ch 88,ABAK0002 on ch 88, cost =0.216
sectors ABAJ0002 on ch 40,ABAM0002 on ch 40, cost =0.063
sectors ABAJ0002 on ch 19,ABAM0003 on ch 19, cost =0.276
sectors ABAJ0002 on ch 37,ABAN0001 on ch 37, cost =0.185
sectors ABAJ0002 on ch 37,ABAO0001 on ch 37, cost =0.084
sectors ABAJ0002 on ch 40,ABAP0002 on ch 40, cost =0.031
sectors ABAJ0002 on ch 40,ABAQ0002 on ch 40, cost =0.016
sectors ABAJ0002 on ch 19,ABAQ0002 on ch 19, cost =0.016
sectors ABAK0002 on ch 59,ABAA0001 on ch 59, cost =0.044
sectors ABAK0002 on ch 88,ABAS0001 on ch 88, cost =0.011
sectors ABAK0002 on ch 88,ABAJ0002 on ch 88, cost =0.340
sectors ABAL0002 on ch 67,ABAD0001 on ch 67, cost =0.029
sectors ABAL0002 on ch 35,ABAF0003 on ch 35, cost =0.002
sectors ABAL0002 on ch 23,ABAH0001 on ch 23, cost =0.016
sectors ABAL0002 on ch 23,ABAQ0002 on ch 23, cost =0.036
sectors ABAM0002 on ch 40,ABAJ0002 on ch 40, cost =0.101
sectors ABAM0002 on ch 40,ABAP0002 on ch 40, cost =0.018
sectors ABAM0002 on ch 40,ABAQ0002 on ch 40, cost =0.073
sectors ABAM0003 on ch 64,ABAC0003 on ch 64, cost =0.019
sectors ABAM0003 on ch 19,ABAD0001 on ch 19, cost =0.061
sectors ABAM0003 on ch 74,ABAS0001 on ch 74, cost =0.039
sectors ABAM0003 on ch  6,ABAE0003 on ch  6, cost =0.018
sectors ABAM0003 on ch 19,ABAJ0002 on ch 19, cost =0.277
sectors ABAM0003 on ch 71,ABAR0001 on ch 71, cost =0.024
sectors ABAN0001 on ch **,ABAD0001 on ch **, cost =0.179
sectors ABAN0001 on ch 37,ABAJ0002 on ch 37, cost =0.135
sectors ABAN0001 on ch 37,ABAO0001 on ch 37, cost =0.006
sectors ABAN0002 on ch  2,ABAT0003 on ch  2, cost =0.058
sectors ABAN0002 on ch  2,ABAF0001 on ch  2, cost =0.139
sectors ABAO0001 on ch 98,ABAH0001 on ch 98, cost =0.005
sectors ABAO0001 on ch 37,ABAJ0002 on ch 37, cost =0.238
sectors ABAO0001 on ch 37,ABAN0001 on ch 37, cost =0.002
sectors ABAO0002 on ch **,ABAD0001 on ch **, cost =0.058
sectors ABAO0002 on ch **,ABAI0003 on ch **, cost =0.012
sectors ABAP0001 on ch **,ABAF0001 on ch **, cost =0.068
sectors ABAP0002 on ch 40,ABAJ0002 on ch 40, cost =0.053
sectors ABAP0002 on ch 40,ABAM0002 on ch 40, cost =0.022
sectors ABAP0002 on ch 40,ABAQ0002 on ch 40, cost =0.016
sectors ABAQ0001 on ch 11,ABAD0001 on ch 11, cost =0.059
sectors ABAQ0002 on ch 19,ABAD0001 on ch 19, cost =0.012
sectors ABAQ0002 on ch 40,ABAJ0002 on ch 40, cost =0.020
sectors ABAQ0002 on ch 19,ABAJ0002 on ch 19, cost =0.020
sectors ABAQ0002 on ch 23,ABAL0002 on ch 23, cost =0.048
sectors ABAQ0002 on ch 40,ABAM0002 on ch 40, cost =0.058
sectors ABAQ0002 on ch 40,ABAP0002 on ch 40, cost =0.011
sectors ABAR0001 on ch 26,ABAD0001 on ch 26, cost =0.027
sectors ABAR0001 on ch 71,ABAM0003 on ch 71, cost =0.002
  total cost =   6.220998    
