-122.57263781188, 44.6349326154185, 1320.51
-122.55813110682, 44.6383055243491, 1267.73
-122.5826888916, 44.6308851247018, 1275.82
-122.580846951518, 44.6467377966755, 1251.12
-122.577409475791, 44.496643349265, 1233.51
-122.550935824781, 44.2942688134306, 1218.63
-122.572688579062, 44.6349326154185, 1319.81
-122.593493654082, 44.6349326154185, 1218.04
-122.583144670282, 44.4824771317566, 1187.17
-122.568411365064, 44.514182475704, 1185.5
-122.572552523972, 44.6244765977337, 1216.25
-122.567345212235, 44.2983163041473, 1117.62
-122.55664649418, 44.6234647250546, 1110.15
-122.535048160118, 44.6366190698838, 1101.17
-122.583575957105, 44.3114706489765, 1092.01
-122.556435856053, 44.5310470203569, 1089.11
-122.581444146843, 44.2915704862861, 1044.8
-122.54280857266, 44.5391420017902, 1049.38
-122.589998754669, 44.490909404083, 1043.16
-122.601738751631, 44.6423530150658, 1122.3
